game_id,map_size,budget,map_seed,combat_seed,team_turns,elapsed_ms,winner,timed_out,survivors_green,survivors_blue,green_legions,blue_legions,green_draft,blue_draft
154,4,125,1211649,1221548,15,124,GREEN,false,15,0,4,6,ARCHER:11;GOLEM:6;SCORPION_RIDER:1,ASSASSIN:4;GARGOYLE:5;GOBLIN:20
155,4,125,1219568,1197405,24,140,GREEN,false,8,0,5,7,GOBLIN:14;MAGE:11;SPIDER:2,ARCHER:2;GARGOYLE:2;GOBLIN:10;GOLEM:2;MAGE:6;SPIDER:3
156,4,125,1227487,1205362,15,176,BLUE,false,0,18,8,5,ARCHER:3;ASSASSIN:6;GARGOYLE:2;GOBLIN:9;SCORPION_RIDER:2;SPIDER:3,ARCHER:15;GARGOYLE:2;GOBLIN:2;MAGE:4
157,4,125,1235406,1181539,13,95,BLUE,false,0,12,3,4,ARCHER:7;GOLEM:4;MAGE:7,ARCHER:12;GOBLIN:10;MAGE:5
158,4,125,1243325,1189392,13,241,GREEN,false,17,0,5,6,ARCHER:11;GOBLIN:2;GOLEM:2;MAGE:6,ARCHER:7;GOBLIN:8;MAGE:6;SCORPION_RIDER:3
159,4,125,1251244,1296641,201,667,,true,4,12,6,6,ARCHER:6;GARGOYLE:3;GOBLIN:1;GOLEM:7,ARCHER:3;GARGOYLE:4;GOLEM:4;SCORPION_RIDER:3;SPIDER:6
160,4,125,1259163,1304630,12,127,GREEN,false,15,0,6,5,ARCHER:12;ASSASSIN:3;GARGOYLE:1;MAGE:2;SCORPION_RIDER:1;SPIDER:5,GARGOYLE:6;GOLEM:1;SCORPION_RIDER:6;SPIDER:8
161,4,125,1267082,1280807,14,180,GREEN,false,12,0,6,9,ARCHER:2;ASSASSIN:8;GOBLIN:1;GOLEM:2;SPIDER:12,ARCHER:1;ASSASSIN:5;GARGOYLE:3;GOBLIN:7;SCORPION_RIDER:5;SPIDER:1
162,4,125,1275001,1288916,13,117,BLUE,false,0,18,6,4,ASSASSIN:2;GARGOYLE:5;GOBLIN:7;SCORPION_RIDER:6;SPIDER:2,ARCHER:11;ASSASSIN:3;MAGE:7
163,4,125,1282920,1265093,34,139,GREEN,false,11,0,5,5,ARCHER:4;GOBLIN:1;GOLEM:3;SCORPION_RIDER:4;SPIDER:13,GARGOYLE:3;GOLEM:8;MAGE:1;SCORPION_RIDER:2
164,4,125,1290839,1273082,201,684,,true,8,6,9,5,ARCHER:2;ASSASSIN:3;GARGOYLE:3;GOBLIN:7;SCORPION_RIDER:4;SPIDER:6,ASSASSIN:6;GARGOYLE:6;GOLEM:4
165,4,125,1298758,1249259,26,146,GREEN,false,14,0,6,9,ASSASSIN:6;GARGOYLE:2;GOBLIN:1;MAGE:4;SCORPION_RIDER:3;SPIDER:4,ASSASSIN:4;GARGOYLE:3;GOBLIN:1;GOLEM:3;MAGE:5;SCORPION_RIDER:1
166,4,125,1306677,1257112,18,164,BLUE,false,0,6,6,4,ARCHER:4;GOBLIN:2;GOLEM:2;MAGE:4;SCORPION_RIDER:3;SPIDER:9,ARCHER:8;GARGOYLE:1;GOBLIN:11;SPIDER:15
167,4,125,1314596,1364361,22,102,GREEN,false,9,0,5,5,GARGOYLE:1;GOBLIN:13;MAGE:11,ASSASSIN:1;GOBLIN:1;GOLEM:4;MAGE:5;SCORPION_RIDER:5
168,4,125,1322515,1372350,16,159,GREEN,false,24,0,5,6,ARCHER:11;GOBLIN:1;MAGE:3;SCORPION_RIDER:2;SPIDER:10,ARCHER:1;ASSASSIN:7;GARGOYLE:5;GOBLIN:12
169,4,125,1330434,1348527,24,131,GREEN,false,6,0,5,7,ARCHER:4;GOLEM:7;SCORPION_RIDER:4;SPIDER:1,ASSASSIN:3;GOBLIN:21;GOLEM:1;MAGE:1;SPIDER:8
170,4,125,1338353,1357148,19,60,BLUE,false,0,10,4,6,ASSASSIN:13;GOLEM:3;SPIDER:1,GARGOYLE:9;GOBLIN:2;SCORPION_RIDER:4;SPIDER:8
171,4,125,1346272,1332301,201,555,,true,8,1,8,6,ARCHER:1;ASSASSIN:2;GARGOYLE:4;GOBLIN:1;GOLEM:1;SCORPION_RIDER:8,ASSASSIN:5;MAGE:8;SCORPION_RIDER:4
172,4,125,1354191,1341282,12,101,GREEN,false,16,0,6,7,ARCHER:15;ASSASSIN:2;GOBLIN:6;SPIDER:6,ARCHER:4;ASSASSIN:2;GOBLIN:18;MAGE:3;SCORPION_RIDER:1;SPIDER:2
173,4,125,1362110,1316371,201,960,,true,10,8,10,6,GARGOYLE:2;GOBLIN:19;MAGE:5;SPIDER:6,GOBLIN:14;GOLEM:4;MAGE:6
174,4,125,1370029,1325312,21,85,BLUE,false,0,12,6,5,ASSASSIN:7;GARGOYLE:1;GOLEM:1;MAGE:6;SCORPION_RIDER:2,ARCHER:3;GARGOYLE:9;GOBLIN:15
175,4,125,1377948,1431601,44,191,GREEN,false,9,0,5,6,GARGOYLE:11;MAGE:1;SCORPION_RIDER:5,ARCHER:1;GARGOYLE:12;SCORPION_RIDER:4;SPIDER:1
176,4,125,1385867,1440550,28,173,GREEN,false,9,0,7,5,ASSASSIN:2;GOBLIN:2;GOLEM:3;MAGE:6;SCORPION_RIDER:4,GOBLIN:10;GOLEM:4;SPIDER:18
177,4,125,1393786,1415895,23,167,GREEN,false,19,0,4,6,ARCHER:12;GARGOYLE:2;GOLEM:5,ASSASSIN:2;GOLEM:1;SCORPION_RIDER:9;SPIDER:9
178,4,125,1401705,1424836,27,209,BLUE,false,0,14,6,7,GARGOYLE:4;MAGE:5;SCORPION_RIDER:3;SPIDER:12,GOBLIN:7;GOLEM:3;MAGE:9;SPIDER:3
179,4,125,1409624,1400053,12,160,BLUE,false,0,10,5,5,ARCHER:5;MAGE:12;SPIDER:5,ARCHER:18;ASSASSIN:1;SPIDER:9
180,4,125,1417543,1409002,201,183,,true,6,2,5,5,GARGOYLE:3;GOBLIN:3;MAGE:6;SCORPION_RIDER:6;SPIDER:1,GARGOYLE:3;GOLEM:1;MAGE:2;SPIDER:26
181,4,125,1425462,1384091,19,83,BLUE,false,0,12,3,7,ASSASSIN:14;SPIDER:9,GARGOYLE:5;GOBLIN:8;GOLEM:2;MAGE:2;SCORPION_RIDER:1;SPIDER:8
182,4,125,1433381,1376648,13,147,GREEN,false,23,0,7,5,ARCHER:9;GARGOYLE:3;GOBLIN:2;MAGE:2;SPIDER:13,GOLEM:10;SCORPION_RIDER:3
183,4,125,1441300,1384633,16,193,GREEN,false,18,0,5,7,ARCHER:8;ASSASSIN:1;MAGE:5;SPIDER:14,ARCHER:3;ASSASSIN:5;GOBLIN:4;GOLEM:3;SCORPION_RIDER:3;SPIDER:3
184,4,125,1449219,1491886,17,97,GREEN,false,6,0,5,6,ASSASSIN:8;GARGOYLE:1;GOBLIN:1;MAGE:8;SPIDER:1,ASSASSIN:6;GOBLIN:11;GOLEM:2;MAGE:4
185,4,125,1457138,1500511,14,127,GREEN,false,16,0,6,6,ARCHER:3;ASSASSIN:1;GOBLIN:1;MAGE:14,ARCHER:1;GOLEM:6;SCORPION_RIDER:3;SPIDER:12
186,4,125,1465057,1475660,21,180,GREEN,false,9,0,8,6,ARCHER:10;GOBLIN:10;GOLEM:2;SPIDER:8,GOBLIN:9;GOLEM:4;MAGE:2;SCORPION_RIDER:5;SPIDER:1
187,4,125,1472976,1484669,47,214,GREEN,false,13,0,6,6,ASSASSIN:4;GOLEM:4;SPIDER:19,ASSASSIN:8;GARGOYLE:2;GOBLIN:11;MAGE:2;SCORPION_RIDER:1
188,4,125,1480895,1459730,18,121,GREEN,false,7,0,5,5,GARGOYLE:3;MAGE:7;SPIDER:18,ASSASSIN:8;GOBLIN:1;MAGE:2;SCORPION_RIDER:6;SPIDER:1
189,4,125,1488814,1468675,21,264,BLUE,false,0,15,6,7,ARCHER:2;GARGOYLE:10;GOBLIN:1;SPIDER:14,ARCHER:10;ASSASSIN:1;GOBLIN:1;GOLEM:5;SPIDER:5
190,4,125,1496733,1443888,26,105,GREEN,false,5,0,4,5,ASSASSIN:6;GOBLIN:3;SCORPION_RIDER:9,ARCHER:10;ASSASSIN:7;GARGOYLE:1;GOLEM:1;SCORPION_RIDER:1
191,4,125,1504652,1452833,26,717,BLUE,false,0,12,8,8,ARCHER:7;GARGOYLE:4;GOLEM:2;MAGE:4;SPIDER:4,ARCHER:11;ASSASSIN:4;GARGOYLE:2;MAGE:4
192,4,125,1512571,1559254,13,108,BLUE,false,0,21,5,6,ARCHER:4;GARGOYLE:10;GOLEM:3;SPIDER:1,ARCHER:13;GOBLIN:7;SPIDER:13
