game_id,pair_index,mirror_index,a_is_green,brain_a,brain_b,green_brain,blue_brain,map_size,budget,map_seed,combat_seed,team_turns,elapsed_ms,winner,timed_out,survivors_green,survivors_blue,green_legions,blue_legions,green_draft,blue_draft
700,0,0,true,,,utility,utility,3,75,11355853961,11355834916,25,0,,false,16,6,3,3,ARCHER:1;GARGOYLE:5;SPIDER:11,ASSASSIN:3;GOBLIN:2;SCORPION_RIDER:6
701,0,0,true,,,utility,utility,3,75,11490469042,11490458143,24,0,,false,15,8,3,3,GARGOYLE:4;GOBLIN:1;SPIDER:14,GOLEM:3;SCORPION_RIDER:5;SPIDER:1
702,0,0,true,,,utility,utility,3,75,11490469042,11490458143,24,0,,false,15,8,3,3,GARGOYLE:4;GOBLIN:1;SPIDER:14,GOLEM:3;SCORPION_RIDER:5;SPIDER:1
703,0,0,true,,,utility,utility,3,75,11490476961,11490434316,20,0,,false,5,15,3,2,GARGOYLE:5;GOBLIN:1;MAGE:5,MAGE:7;SPIDER:8
704,0,0,true,,,utility,utility,3,75,11490476961,11490434316,18,0,,false,5,14,3,2,GARGOYLE:5;GOBLIN:1;MAGE:5,MAGE:7;SPIDER:8
705,0,0,true,,,utility,utility,3,75,11625092042,11625041255,13,0,BLUE,false,0,5,2,4,GARGOYLE:6;SPIDER:11,ASSASSIN:2;GOBLIN:2;MAGE:1;SCORPION_RIDER:6
706,0,0,true,,,utility,utility,3,75,11625092042,11625041255,20,0,GREEN,false,6,0,2,4,GARGOYLE:6;SPIDER:11,ASSASSIN:2;GOBLIN:2;MAGE:1;SCORPION_RIDER:6
707,0,0,true,,,utility,utility,3,75,11625099961,11625049108,17,0,BLUE,false,0,2,2,3,SCORPION_RIDER:4;SPIDER:14,GOLEM:3;SPIDER:15
708,0,0,true,,,utility,utility,3,75,11625099961,11625049108,18,0,BLUE,false,0,4,2,3,SCORPION_RIDER:4;SPIDER:14,GOLEM:3;SPIDER:15
709,0,0,true,,,utility,cascade,3,75,90609198042,90609188215,15,0,BLUE,false,0,12,3,3,ARCHER:8;GOBLIN:1;SCORPION_RIDER:3,GOBLIN:13;SPIDER:12
710,0,0,true,,,cascade,utility,3,75,90609198042,90609188215,14,0,GREEN,false,6,0,3,3,ARCHER:8;GOBLIN:1;SCORPION_RIDER:3,GOBLIN:13;SPIDER:12
711,0,0,true,,,utility,cascade,3,75,90609205961,90609163364,16,0,GREEN,false,3,0,2,3,GOBLIN:12;SPIDER:13,GARGOYLE:1;GOBLIN:9;GOLEM:4
712,0,0,true,,,cascade,utility,3,75,90609205961,90609163364,10,0,GREEN,false,13,0,2,3,GOBLIN:12;SPIDER:13,GARGOYLE:1;GOBLIN:9;GOLEM:4
713,0,0,true,,,utility,cascade,3,75,90617117042,90617128927,14,0,GREEN,false,7,0,3,2,ARCHER:7;ASSASSIN:4;GOBLIN:1,MAGE:7;SCORPION_RIDER:3
714,0,0,true,,,cascade,utility,3,75,90617117042,90617128927,9,0,BLUE,false,0,3,3,2,ARCHER:7;ASSASSIN:4;GOBLIN:1,MAGE:7;SCORPION_RIDER:3
715,0,0,true,,,utility,cascade,3,75,90617124961,90617104076,19,0,BLUE,false,0,5,2,2,MAGE:8;SPIDER:6,GOLEM:4;SPIDER:11
716,0,0,true,,,cascade,utility,3,75,90617124961,90617104076,23,0,BLUE,false,0,10,2,2,MAGE:8;SPIDER:6,GOLEM:4;SPIDER:11
717,0,0,true,,,utility,cascade,3,75,90625036042,90625053095,7,0,BLUE,false,0,5,3,2,ASSASSIN:9;GOBLIN:4,GOBLIN:11;MAGE:6
718,0,0,true,,,cascade,utility,3,75,90625036042,90625053095,6,0,BLUE,false,0,5,3,2,ASSASSIN:9;GOBLIN:4,GOBLIN:11;MAGE:6
719,0,0,true,,,utility,cascade,3,75,90625043961,90625061716,6,0,GREEN,false,11,0,3,3,ASSASSIN:1;GARGOYLE:5;GOBLIN:11,ASSASSIN:7;GOLEM:2;SPIDER:2
720,0,0,true,,,cascade,utility,3,75,90625043961,90625061716,14,0,GREEN,false,14,0,3,3,ASSASSIN:1;GARGOYLE:5;GOBLIN:11,ASSASSIN:7;GOLEM:2;SPIDER:2
721,0,0,true,,,utility,utility,3,75,90632955042,90633009679,20,0,,false,5,10,3,3,ASSASSIN:5;GARGOYLE:5;SPIDER:1,GARGOYLE:2;MAGE:8;SPIDER:1
722,0,0,true,,,utility,utility,3,75,90632955042,90633009679,20,0,,false,5,10,3,3,ASSASSIN:5;GARGOYLE:5;SPIDER:1,GARGOYLE:2;MAGE:8;SPIDER:1
723,0,0,true,,,utility,utility,3,75,90632962961,90632985916,11,0,BLUE,false,0,8,2,2,ARCHER:3;MAGE:8,GOBLIN:8;MAGE:7
724,0,0,true,,,utility,utility,3,75,90632962961,90632985916,11,0,BLUE,false,0,5,2,2,ARCHER:3;MAGE:8,GOBLIN:8;MAGE:7
725,0,0,true,,,utility,utility,3,75,90640874042,90640819351,6,0,GREEN,false,9,0,3,3,ASSASSIN:8;GOBLIN:1;SCORPION_RIDER:2,ASSASSIN:2;MAGE:8;SPIDER:1
726,0,0,true,,,utility,utility,3,75,90640874042,90640819351,6,0,GREEN,false,9,0,3,3,ASSASSIN:8;GOBLIN:1;SCORPION_RIDER:2,ASSASSIN:2;MAGE:8;SPIDER:1
727,0,0,true,,,utility,utility,3,75,90640881961,90640926596,12,0,,false,15,25,2,2,GOBLIN:11;GOLEM:4,GOBLIN:12;SPIDER:13
728,0,0,true,,,utility,utility,3,75,90640881961,90640926596,12,0,,false,15,25,2,2,GOBLIN:11;GOLEM:4,GOBLIN:12;SPIDER:13
729,0,0,true,,,utility,cascade,3,75,90648793042,90648744319,33,0,BLUE,false,0,4,3,2,GOLEM:7;SPIDER:1,GARGOYLE:5;GOLEM:4
730,0,0,true,,,cascade,utility,3,75,90648793042,90648744319,25,0,BLUE,false,0,5,3,2,GOLEM:7;SPIDER:1,GARGOYLE:5;GOLEM:4
731,0,0,true,,,utility,cascade,3,75,90648800961,90648752236,7,0,GREEN,false,9,0,2,3,GOBLIN:11;SPIDER:14,ASSASSIN:7;GOBLIN:2;GOLEM:2
